raw_text,station_id,observation_time,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,sea_level_pressure_mb,corrected,auto,auto_station,maintenance_indicator_on,no_signal,lightning_sensor_off,freezing_rain_sensor_off,present_weather_sensor_off,wx_string,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,sky_cover,cloud_base_ft_agl,flight_category,three_hr_pressure_tendency_mb,maxT_c,minT_c,maxT24hr_c,minT24hr_c,precip_in,pcp3hr_in,pcp6hr_in,pcp24hr_in,snow_in,vert_vis_ft,metar_type,elevation_m
KZZV 050104Z AUTO 16007KT 10SM BKN015 BKN075 21/19 A2995 RMK AO2 T02060189,KZZV,2024-05-05T01:04:00Z,39.9461,-81.8932,20.6,18.9,160,7,,10+,29.95,,,TRUE,TRUE,,,,,,,BKN,1500,BKN,7500,,,,,MVFR,,,,,,,,,,,,SPECI,268
KVUO 050104Z AUTO 20004KT 6SM -RA BR SCT011 BKN029 OVC042 10/08 A2967 RMK AO2 P0000 T01000078,KVUO,2024-05-05T01:04:00Z,45.621,-122.654,10,7.8,200,4,,6,29.67,,,TRUE,TRUE,,,,,,-RA BR,SCT,1100,BKN,2900,OVC,4200,,,MVFR,,,,,,0.005,,,,,,SPECI,7
KRDM 050104Z 31017G25KT 10SM -RA BKN035 OVC045 06/01 A2954 RMK AO2 P0000 T00560011,KRDM,2024-05-05T01:04:00Z,44.2558,-121.141,5.6,1.1,310,17,25,10+,29.54,,,,TRUE,,,,,,-RA,BKN,3500,OVC,4500,,,,,VFR,,,,,,0.005,,,,,,SPECI,930
KMFD 050104Z 13008KT 10SM BKN021 BKN060 19/17 A2994 RMK AO2 T01940167,KMFD,2024-05-05T01:04:00Z,40.8204,-82.5177,19.4,16.7,130,8,,10+,29.94,,,,TRUE,,,,,,,BKN,2100,BKN,6000,,,,,MVFR,,,,,,,,,,,,SPECI,394
KIWD 050104Z AUTO 31003KT 10SM FEW009 SCT014 BKN019 07/06 A2997 RMK AO2,KIWD,2024-05-05T01:04:00Z,46.5321,-90.126,7,6,310,3,,10+,29.97,,,TRUE,TRUE,,,,,,,FEW,900,SCT,1400,BKN,1900,,,MVFR,,,,,,,,,,,,SPECI,373
KCMA 050104Z 25010KT 10SM BKN016 BKN041 17/11 A2989 RMK AO2 T01720111,KCMA,2024-05-05T01:04:00Z,34.2114,-119.088,17.2,11.1,250,10,,10+,29.89,,,,TRUE,,,,,,,BKN,1600,BKN,4100,,,,,MVFR,,,,,,,,,,,,SPECI,20
KCAE 050104Z 12004KT 9SM -RA BKN008 BKN038 OVC075 21/20 A3005 RMK AO2 P0000 T02110200,KCAE,2024-05-05T01:04:00Z,33.9422,-81.118,21.1,20,120,4,,9,30.05,,,,TRUE,,,,,,-RA,BKN,800,BKN,3800,OVC,7500,,,IFR,,,,,,0.005,,,,,,SPECI,69
KBAN 050104Z AUTO 1/4SM +SN FZFG VV004 M02/M04 A2966 RMK AO2 PRESRR P0002 T10221039 $,KBAN,2024-05-05T01:04:00Z,38.355,-119.522,-2.2,-3.9,,,,0.25,29.66,,,TRUE,TRUE,TRUE,,,,,+SN FZFG,OVX,0,,,,,,,LIFR,,,,,,0.02,,,,,400,SPECI,2067
KAKH 050104Z AUTO VRB03KT 10SM -RA BKN015 BKN042 OVC055 19/19 A3007 RMK AO2 P0000 T01940189,KAKH,2024-05-05T01:04:00Z,35.1968,-81.1555,19.4,18.9,VRB,3,,10+,30.07,,,TRUE,TRUE,,,,,,-RA,BKN,1500,BKN,4200,OVC,5500,,,MVFR,,,,,,0.005,,,,,,SPECI,242
EHVK 050104Z AUTO VRB02KT 4400 BR FEW002 SCT019 BKN022 10/10 Q1008 GRN,EHVK,2024-05-05T01:04:00Z,51.658,5.707,10,10,VRB,2,,2.73,29.76,,,TRUE,,,,,,,BR,FEW,200,SCT,1900,BKN,2200,,,IFR,,,,,,,,,,,,SPECI,20
EBFN 050104Z AUTO VRB01KT 0400 FG /// 06/06 Q1009 RED,EBFN,2024-05-05T01:04:00Z,51.09,2.653,6,6,VRB,1,,0.25,29.79,,,TRUE,,,,,,,FG,,,,,,,,,LIFR,,,,,,,,,,,,SPECI,9
SPQT 050103Z 08010KT 8000 -SHRA SCT007 BKN025 OVC100 25/22 Q1010,SPQT,2024-05-05T01:03:00Z,-3.786,-73.306,25,22,80,10,,4.97,29.82,,,,,,,,,,-SHRA,SCT,700,BKN,2500,OVC,10000,,,MVFR,,,,,,,,,,,,SPECI,92
PHBK 050103Z AUTO 33004KT 10SM SCT038 SCT048 BKN060 27/18 A3002 RMK AO2 T02720178,PHBK,2024-05-05T01:03:00Z,22.034,-159.783,27.2,17.8,330,4,,10+,30.02,,,TRUE,TRUE,,,,,,,SCT,3800,SCT,4800,BKN,6000,,,VFR,,,,,,,,,,,,SPECI,5
PAPE 050103Z AUTO 25008KT 5SM -RA FEW008 OVC028 06/01 A2927 RMK AO2 P0000,PAPE,2024-05-05T01:03:00Z,55.9096,-159.16,6,1,250,8,,5,29.27,,,TRUE,TRUE,,,,,,-RA,FEW,800,OVC,2800,,,,,MVFR,,,,,,0.005,,,,,,SPECI,15
PAKP 050103Z AUTO 04020G24KT 3/4SM -SN BKN015 BKN022 OVC027 M13/M16 A2964 RMK AO2 P0000 FZRANO,PAKP,2024-05-05T01:03:00Z,68.136,-151.74,-13,-16,40,20,24,0.75,29.64,,,TRUE,TRUE,,,,TRUE,,-SN,BKN,1500,BKN,2200,OVC,2700,,,LIFR,,,,,,0.005,,,,,,SPECI,649
MMCV 050103Z 21002KT 6SM SCT020 BKN100 OVC250 26/26 A2976 RMK 8/463 RAE01 DSNT CB E/SE,MMCV,2024-05-05T01:03:00Z,23.706,-98.959,26,26,210,2,,6,29.76,,,,,,,,,,,SCT,2000,BKN,10000,OVC,25000,,,VFR,,,,,,,,,,,,SPECI,230
KVAD 050103Z AUTO 21003KT 10SM CLR 21/20 A3001 RMK AO2 RAB0057E03 SLP163 $,KVAD,2024-05-05T01:03:00Z,30.979,-83.192,21,20,210,3,,10+,30.01,1016.3,,TRUE,TRUE,TRUE,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,70
KSUE 050103Z AUTO 30010KT 3/4SM RA BR BKN016 OVC027 14/13 A2985 RMK AO2 LTG DSNT NE P0000 RVRNO,KSUE,2024-05-05T01:03:00Z,44.847,-87.425,14,13,300,10,,0.75,29.85,,,TRUE,TRUE,,,,,,RA BR,BKN,1600,OVC,2700,,,,,LIFR,,,,,,0.005,,,,,,SPECI,215
KSBY 050103Z 09010KT 10SM BKN010 OVC020 12/11 A3023 RMK AO2 T01170106,KSBY,2024-05-05T01:03:00Z,38.3409,-75.5132,11.7,10.6,90,10,,10+,30.23,,,,TRUE,,,,,,,BKN,1000,OVC,2000,,,,,MVFR,,,,,,,,,,,,SPECI,14
KPWA 050103Z 03011G22KT 10SM FEW022 17/13 A2995 RMK AO2 T01720133,KPWA,2024-05-05T01:03:00Z,35.5411,-97.6472,17.2,13.3,30,11,22,10+,29.95,,,,TRUE,,,,,,,FEW,2200,,,,,,,VFR,,,,,,,,,,,,SPECI,390
KMYP 050103Z AUTO 11007KT M1/4SM -SN OVC003 M01/M01 A3032 RMK AO2,KMYP,2024-05-05T01:03:00Z,38.4972,-106.32,-1,-1,110,7,,0.25,30.32,,,TRUE,TRUE,,,,,,-SN,OVC,300,,,,,,,LIFR,,,,,,,,,,,,METAR,3629
KMTO 050103Z AUTO 29021G37KT 8SM VCTS RA FEW033 BKN045 OVC075 18/17 A2994 RMK AO2 PK WND 27037/0100 LTG DSNT SW-N RAB00 P0001 T01830167,KMTO,2024-05-05T01:03:00Z,39.4744,-88.2724,18.3,16.7,290,21,37,8,29.94,,,TRUE,TRUE,,,,,,VCTS RA,FEW,3300,BKN,4500,OVC,7500,,,VFR,,,,,,0.01,,,,,,SPECI,216
KHIO 050103Z 22005KT 5SM -RA BR BKN008 BKN028 OVC037 10/08 A2965 RMK AO2 P0001 T01000078,KHIO,2024-05-05T01:03:00Z,45.5476,-122.956,10,7.8,220,5,,5,29.65,,,,TRUE,,,,,,-RA BR,BKN,800,BKN,2800,OVC,3700,,,IFR,,,,,,0.01,,,,,,SPECI,62
KGPT 050103Z AUTO 16004KT 10SM FEW003 26/21 A2997 RMK AO2 T02610211,KGPT,2024-05-05T01:03:00Z,30.4121,-89.0809,26.1,21.1,160,4,,10+,29.97,,,TRUE,TRUE,,,,,,,FEW,300,,,,,,,VFR,,,,,,,,,,,,SPECI,5
KCMX 050103Z AUTO 30014KT 9SM -RA FEW002 BKN043 OVC050 08/06 A2989 RMK AO2 P0000 T00780061,KCMX,2024-05-05T01:03:00Z,47.1705,-88.4854,7.8,6.1,300,14,,9,29.89,,,TRUE,TRUE,,,,,,-RA,FEW,200,BKN,4300,OVC,5000,,,VFR,,,,,,0.005,,,,,,SPECI,326
PAHX 050102Z AUTO 00000KT 10SM -RA SCT028 BKN037 OVC070 07/04 A2929 RMK AO2 RAB0040 SLP920 P0006 T00670039,PAHX,2024-05-05T01:02:00Z,62.688,-159.566,6.7,3.9,0,0,,10+,29.29,992,,TRUE,TRUE,,,,,,-RA,SCT,2800,BKN,3700,OVC,7000,,,VFR,,,,,,0.06,,,,,,METAR,20
LTBQ 050102Z VRB01KT 6000 -SHRA SCT012 BKN022 BKN080 12/12 Q1011 NOSIG RMK RWY09 02003KT 340V060,LTBQ,2024-05-05T01:02:00Z,40.735,30.083,12,12,VRB,1,,3.73,29.85,,,,,,TRUE,,,,-SHRA,SCT,1200,BKN,2200,BKN,8000,,,MVFR,,,,,,,,,,,,SPECI,51
KIPT 050102Z 10012G18KT 10SM SCT014 OVC026 12/09 A3021 RMK AO2 T01170094,KIPT,2024-05-05T01:02:00Z,41.243,-76.9217,11.7,9.4,100,12,18,10+,30.21,,,,TRUE,,,,,,,SCT,1400,OVC,2600,,,,,MVFR,,,,,,,,,,,,SPECI,160
KFHU 050102Z AUTO 25011G17KT 10SM CLR 25/M11 A2993 RMK AO2 WSHFT 00 SLPNO,KFHU,2024-05-05T01:02:00Z,31.586,-110.348,25,-11,250,11,17,10+,29.93,,,TRUE,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,SPECI,1424
KDEC 050102Z 31006KT 7SM RA OVC100 18/18 A2993 RMK AO2 LTG DSNT NE-S TSE0056 P0002 T01830183,KDEC,2024-05-05T01:02:00Z,39.8308,-88.8719,18.3,18.3,310,6,,7,29.93,,,,TRUE,,,,,,RA,OVC,10000,,,,,,,VFR,,,,,,0.02,,,,,,SPECI,205
KACY 050102Z 10008KT 10SM -RA BKN007 OVC055 10/08 A3029 RMK AO2 P0000 T01000083,KACY,2024-05-05T01:02:00Z,39.452,-74.567,10,8.3,100,8,,10+,30.29,,,,TRUE,,,,,,-RA,BKN,700,OVC,5500,,,,,IFR,,,,,,0.005,,,,,,SPECI,18
KABE 050102Z 11007KT 4SM -RA BR FEW007 BKN012 OVC026 09/08 A3029 RMK AO2 P0001 T00940078,KABE,2024-05-05T01:02:00Z,40.658,-75.4347,9.4,7.8,110,7,,4,30.29,,,,TRUE,,,,,,-RA BR,FEW,700,BKN,1200,OVC,2600,,,MVFR,,,,,,0.01,,,,,,SPECI,117
PAFS 050101Z AUTO 00000KT 10SM OVC070 12/M02 A2924 RMK AO2 SLP907 T01221022,PAFS,2024-05-05T01:01:00Z,63.015,-154.367,12.2,-2.2,0,0,,10+,29.24,990.7,,TRUE,TRUE,,,,,,,OVC,7000,,,,,,,VFR,,,,,,,,,,,,METAR,131
KSSC 050101Z AUTO 09003KT 10SM FEW007 BKN022 BKN037 OVC130 21/20 A3004 RMK AO2 SLP172 $,KSSC,2024-05-05T01:01:00Z,33.978,-80.466,21,20,90,3,,10+,30.04,1017.2,,TRUE,TRUE,TRUE,,,,,,FEW,700,BKN,2200,BKN,3700,OVC,13000,MVFR,,,,,,,,,,,,SPECI,71
KSIY 050101Z AUTO VRB06KT 9SM -RA BKN018 BKN024 OVC050 06/02 A2969 RMK AO2 P0001 T00560022,KSIY,2024-05-05T01:01:00Z,41.7737,-122.468,5.6,2.2,VRB,6,,9,29.69,,,TRUE,TRUE,,,,,,-RA,BKN,1800,BKN,2400,OVC,5000,,,MVFR,,,,,,0.01,,,,,,SPECI,807
KSAF 050101Z 28016G28KT 10SM BKN090 OVC100 17/02 A3000 RMK AO2 PK WND 28028/0058 WSHFT 0047 LTG DSNT SW RAE00 P0000 T01670017,KSAF,2024-05-05T01:01:00Z,35.611,-106.096,16.7,1.7,280,16,28,10+,30.00,,,,TRUE,,,,,,,BKN,9000,OVC,10000,,,,,VFR,,,,,,0.005,,,,,,SPECI,1918
KMMK 050101Z AUTO 14006KT 10SM SCT018 10/06 A3035 RMK AO2 T01000056,KMMK,2024-05-05T01:01:00Z,41.5097,-72.8278,10,5.6,140,6,,10+,30.35,,,TRUE,TRUE,,,,,,,SCT,1800,,,,,,,VFR,,,,,,,,,,,,SPECI,30
KMHS 050101Z AUTO VRB04KT 3SM -SN BR BKN016 OVC030 02/00 A2964 RMK AO2 P0000 T00220000,KMHS,2024-05-05T01:01:00Z,41.3149,-122.317,2.2,0,VRB,4,,3,29.64,,,TRUE,TRUE,,,,,,-SN BR,BKN,1600,OVC,3000,,,,,MVFR,,,,,,0.005,,,,,,SPECI,1080
KFAT 050101Z 33009KT 2SM RA BR SCT008 BKN012 OVC025 11/09 A2988 RMK AO2 P0002 T01060089 $,KFAT,2024-05-05T01:01:00Z,36.78,-119.72,10.6,8.9,330,9,,2,29.88,,,,TRUE,TRUE,,,,,RA BR,SCT,800,BKN,1200,OVC,2500,,,IFR,,,,,,0.02,,,,,,SPECI,102
KCMI 050101Z 27011G21KT 9SM -TSRA FEW030 BKN065 OVC080 18/16 A2993 RMK AO2 LTG DSNT ALQDS RAB0057 P0000 T01830156,KCMI,2024-05-05T01:01:00Z,40.0324,-88.2755,18.3,15.6,270,11,21,9,29.93,,,,TRUE,,,,,,-TSRA,FEW,3000,BKN,6500,OVC,8000,,,VFR,,,,,,0.005,,,,,,SPECI,227
KABI 050101Z 15009KT 10SM OVC011 21/ A2989 RMK AO2 PRESRR T0211 $,KABI,2024-05-05T01:01:00Z,32.4106,-99.6821,21.1,,150,9,,10+,29.89,,,,TRUE,TRUE,,,,,,OVC,1100,,,,,,,MVFR,,,,,,,,,,,,SPECI,543
EHLW 050101Z AUTO 05003KT 020V150 6000 -RA FEW015CB BKN046 OVC050 10/10 Q1008 WHT,EHLW,2024-05-05T01:01:00Z,53.223,5.752,10,10,50,3,,3.73,29.76,,,TRUE,,,,,,,-RA,FEW,1500,BKN,4600,OVC,5000,,,MVFR,,,,,,,,,,,,SPECI,1
CYIO 050101Z AUTO 19006KT 6SM -SN SCT033 BKN048 M11/M12 A3040 RMK SLP303,CYIO,2024-05-05T01:01:00Z,72.694,-77.957,-11,-12,190,6,,6,30.40,1030.3,,TRUE,,,,,,,-SN,SCT,3300,BKN,4800,,,,,VFR,,,,,,,,,,,,SPECI,61
BIKF 050101Z 16008KT 9999 -RA BKN017 OVC056 03/02 Q1004,BIKF,2024-05-05T01:01:00Z,63.987,-22.614,3,2,160,8,,6+,29.65,,,,,,,,,,-RA,BKN,1700,OVC,5600,,,,,MVFR,,,,,,,,,,,,METAR,49
ZYTX 050100Z 14004MPS 9999 -RA BKN040 14/09 Q1012 NOSIG,ZYTX,2024-05-05T01:00:00Z,41.639,123.485,14,9,140,8,,6+,29.88,,,,,,TRUE,,,,-RA,BKN,4000,,,,,,,VFR,,,,,,,,,,,,METAR,56
ZYTL 050100Z 07004MPS 040V100 6000 -RA SCT006 SCT008 BKN033 13/12 Q1009 BECMG TL0130 BKN008 OVC033,ZYTL,2024-05-05T01:00:00Z,38.961,121.556,13,12,70,8,,3.73,29.79,,,,,,,,,,-RA,SCT,600,SCT,800,BKN,3300,,,MVFR,,,,,,,,,,,,METAR,33
ZYHB 050100Z VRB03MPS CAVOK 20/04 Q1010 BECMG TL0230 36005MPS,ZYHB,2024-05-05T01:00:00Z,45.628,126.259,20,4,VRB,6,,6+,29.82,,,,,,,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,134
ZYCC 050100Z 21008MPS CAVOK 20/M01 Q1011 NOSIG,ZYCC,2024-05-05T01:00:00Z,43.993,125.682,20,-1,210,16,,6+,29.85,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,211
ZWWW 050100Z VRB01MPS CAVOK 22/M02 Q1006 NOSIG,ZWWW,2024-05-05T01:00:00Z,43.907,87.474,22,-2,VRB,2,,6+,29.70,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,654
ZWSH 050100Z 32004MPS CAVOK 18/M02 Q1010 NOSIG,ZWSH,2024-05-05T01:00:00Z,39.542,76.019,18,-2,320,8,,6+,29.82,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,1374
ZUUU 050100Z 17002MPS 080V220 CAVOK 21/16 Q1013 NOSIG,ZUUU,2024-05-05T01:00:00Z,30.576,103.95,21,16,170,4,,6+,29.91,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,494
ZUTF 050100Z VRB01MPS CAVOK 20/15 Q1013 NOSIG,ZUTF,2024-05-05T01:00:00Z,30.304,104.436,20,15,VRB,2,,6+,29.91,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,443
ZUGY 050100Z VRB01MPS 2800 PRFG BR FEW002 SCT040 12/12 Q1017 BECMG TL0130 3000,ZUGY,2024-05-05T01:00:00Z,26.538,106.801,12,12,VRB,2,,1.74,30.03,,,,,,,,,,PRFG BR,FEW,200,SCT,4000,,,,,IFR,,,,,,,,,,,,METAR,1130
ZUCK 050100Z 07002MPS 030V110 5000 BR FEW011 19/16 Q1014 NOSIG,ZUCK,2024-05-05T01:00:00Z,29.718,106.639,19,16,70,4,,3.11,29.94,,,,,,TRUE,,,,BR,FEW,1100,,,,,,,MVFR,,,,,,,,,,,,METAR,416
ZSSS 050100Z 24003MPS 190V270 6000 -SHRA SCT007 20/19 Q1009 BECMG TL0140 BKN007,ZSSS,2024-05-05T01:00:00Z,31.209,121.337,20,19,240,6,,3.73,29.79,,,,,,,,,,-SHRA,SCT,700,,,,,,,MVFR,,,,,,,,,,,,METAR,2
ZSQD 050100Z 34005MPS 2900 -RA BR SCT006 OVC040 12/12 Q1009 RERA BECMG TL0200 3500 BKN006,ZSQD,2024-05-05T01:00:00Z,36.362,120.087,12,12,340,10,,1.8,29.79,,,,,,,,,,-RA BR,SCT,600,OVC,4000,,,,,IFR,,,,,,,,,,,,METAR,2
ZSPD 050100Z 21005MPS 7000 -SHRA FEW006 20/19 Q1008 NOSIG,ZSPD,2024-05-05T01:00:00Z,31.146,121.8,20,19,210,10,,4.35,29.76,,,,,,TRUE,,,,-SHRA,FEW,600,,,,,,,MVFR,,,,,,,,,,,,METAR,4
ZSOF 050100Z 31004MPS 3200 BR BKN011 OVC040 16/14 Q1010 BECMG AT0230 BKN016,ZSOF,2024-05-05T01:00:00Z,31.99,116.965,16,14,310,8,,1.99,29.82,,,,,,,,,,BR,BKN,1100,OVC,4000,,,,,IFR,,,,,,,,,,,,METAR,64
